cycle,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,gpool_every,num_workers,value_head,pawn_head
90,,,,,,,,,0.8890,1.162015,0.849350,0.312665,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
91,,,,,,,,,0.8909,1.096332,0.798012,0.298321,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
92,,,,,,,,,0.8880,1.105627,0.799782,0.305845,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
93,,,,,,,,,0.8822,1.112604,0.797852,0.314752,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
94,,,,,,,,,0.8835,1.123367,0.811393,0.311974,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
95,,,,,,,,,0.8829,1.112185,0.800057,0.312127,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
96,,,,,,,,,0.8811,1.106101,0.793449,0.312652,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
97,,,,,,,,,0.8849,1.099028,0.793426,0.305603,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
98,,,,,,,,,0.8801,1.101017,0.787294,0.313723,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
99,,,,,,,,,0.8857,1.087560,0.784468,0.303091,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
100,,,,,,,,,0.8883,1.073469,0.773305,0.300164,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
101,,,,,,,,,0.8752,1.082569,0.758698,0.323872,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
102,,,,,,,,,0.8773,1.086930,0.764043,0.322887,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
103,,,,,,,,,0.8736,1.051520,0.722709,0.328811,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
104,,,,,,,,,0.8747,1.069359,0.744690,0.324669,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
105,,,,,,,,,0.8741,1.086075,0.761505,0.324570,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
106,,,,,,,,,0.8749,1.068706,0.743172,0.325534,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
107,,,,,,,,,0.8841,1.050960,0.739942,0.311017,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
108,,,,,,,,,0.8806,1.069461,0.752442,0.317019,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
109,,,,,,,,,0.8864,1.047573,0.739441,0.308132,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
110,,,,,,,,,0.8844,1.073149,0.760470,0.312679,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
111,,,,,,,,,0.8848,1.056770,0.745247,0.311523,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
112,,,,,,,,,0.8809,1.088092,0.768968,0.319124,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
113,,,,,,,,,0.8771,1.118868,0.795991,0.322877,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
114,,,,,,,,,0.8733,1.119326,0.788024,0.331302,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
115,,,,,,,,,0.8715,1.122172,0.792205,0.329968,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
116,,,,,,,,,0.8695,1.126191,0.790947,0.335244,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
117,,,,,,,,,0.8671,1.127624,0.790593,0.337030,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
118,,,,,,,,,0.8617,1.132104,0.784998,0.347105,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
119,,,,,,,,,0.8592,1.139556,0.787198,0.352358,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
120,,,,,,,,,0.8564,1.146979,0.797611,0.349368,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
121,,,,,,,,,0.8645,1.117905,0.778071,0.339833,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
122,,,,,,,,,0.8615,1.122044,0.778143,0.343901,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
